livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
NAM.1.11," De toi est sorti celui qui médite le mal contre Yahweh, celui qui forme des desseins criminels.","There is one come out of thee, that imagineth evil against the  Lord , a wicked counsellor.","Goy hay nak (Ninive) pa, sa ma ka hiɗi varta joota kali goyo, namu mi ma ka hiɗi varta ta ɦay-ɦayta.","Môt a nga bôndé feʼe ya bo Nti abé a nga so be wo, nyô a nga bili asimesane momo môt.","Hirwuy Niniv, mbur magi gidiɓi ar Bumbulvuŋ ngi gi malambaˀ na, a bo tivi ka, i mbur misi wuluk malambaˀa.","An Niniwe, haa maaɗa goɗɗo mo nufi kalluɗum dow Jawmiraawo iwi, anniyaaji maako kalli masin.","An Niniwe, haa maaɗa goɗɗo mo nufi kalluɗum dow Jawmiraawo iwi, anniyaaji maako kalli masin.","Ninivɛ, wi nɛ taa so mɛ de ɗaŋmɔ in GASA WAN gboo nɛ tɛ mɛ. A̧ duka so nɛ wi-ba-ɗaŋ keta nyɛmna.","Ninivɛ, wi nɛ taa so mɛ de ɗaŋmɔ in GASA WAN gboo nɛ tɛ mɛ. A̧ duka so nɛ wi-ba-ɗaŋ keta nyɛmna.","Ninive, mbe gha shave wəndə nya kezəzə wəsə kwa ndiremi te Mahwətə, wəndə nya kezəzə wəshi nyi ndiremi ndiremi kashasha.","Je maga hay ëig ree ma de älagge ti Manwuri, Day ëiggi ma debaycoçoçren hay wo le äil äe hay kal le go na ni äo."
NAM.1.12," Ainsi parte Yahweh : Bien qu'ils soient intacts et nombreux, ils seront moissonnés et disparaîtront. Je t'ai humiliée et je ne t'humilierai plus.","Thus saith the  Lord ; Though they be quiet, and likewise many, yet thus shall they be cut down, when he shall pass through. Though I have afflicted thee, I will afflict thee no more.","Ki kayn nala Ma-Vatɗin di'e: La sa gaw kigina ka ŋolo, dono misi kaw, feɗna ma co kisiya ta-ta nisi as hin loɗi, nan hotgi yigi gaa'a, hot yam gaa'a mara ma suw kayn may loɗi.","Avale di nde Nti a jô na: Nge be ne bese, toʼo be ne abui aya nge ngu, ba ye jañ, jôm teke liʼi. Akôsa bo me nga liti wo njuk maa ye ke beta liti wo wô.","Bumbulvuŋ a ɓi ani: «Ko da mesene kumoy a ndilaka le gucuˀo, yo taŋ haɗa tekeɗe kwana, a sa ngizlam pay na si, ɓi taŋ a sa kiɗ mi. Yi hunukum duba le wãˀ ti bonoy zleˀe, amma y'anta sa mahiri naŋ mata.","Ndaa nii Jawmiraawo ɗon wi'a: “Koo to ɓe ngardi ɓe fuu e no ɓe ɗuuɗɗiri fuu, ɓe kalkan, ɓe timman. Onon Yahuudu'en, mi toskini on, ammaa mi meetataa toskingo on. ","Ndaa nii Jawmiraawo ɗon wi'a: “Koo to ɓe ngardi ɓe fuu e no ɓe ɗuuɗɗiri fuu, ɓe kalkan, ɓe timman. Onon Yahuudu'en, mi toskini on, ammaa mi meetataa toskingo on. ","Wen nɛ GASA WAN tɔ̧ ha̧ o be Juda nɛ mɔ'ɔ: «Koo wa ŋgaia so nyɛmna, koo wa dɔka so nyɛmna mbɛt, wa tɛ kum gbuɗuk. Mi pi̧i̧ so buu zu'nɛ́, ɓɛɛ mi beka de hegɔ woyo ɓɔna.","Wen nɛ GASA WAN tɔ̧ ha̧ o be Juda nɛ mɔ'ɔ: «Koo wa ŋgaia so nyɛmna, koo wa dɔka so nyɛmna mbɛt, wa tɛ kum gbuɗuk. Mi pi̧i̧ so buu zu'nɛ́, ɓɛɛ mi beka de hegɔ woyo ɓɔna.","Wa nya ghena nya geze nda Mahwətə ke ka Zhəwda nya: «Ya ka jaga ta ŋayɛ nza kwele kwele ba'a kaka berete berete ne, katempə hɛ ba'a kateza sebe te hɛ. Ma nda kelemte zləvə 'ya te gheyɛ ne, kezha zhɛnema 'ya kakele zləvə te gheyɛ.","Mokay diñ waçaçre maga Manwur waçaçn mono: A mo hayba wo go de bag jag äuy noga wo ngaäa do mayse no yaw, AÈ sañ ge ra go day sen taw ge dosen no tu no. Ndi da mbuë fo äo go nen maga ndi mbuë gi fo äo de dañ sen wa so hase."
NAM.1.13," Et maintenant,  ô Juda,  je briserai son joug de dessus toi, et je romprai tes liens.","For now will I break his yoke from off thee, and will burst thy bonds in sunder.","Jak ma nekŋa ma nisi tunum kigina nan ma slum goyo, zigew ma nisi jungi hiɗi namna nan min butum goyo.","Eyoñe ji ma ye buʼu ébôñeté jé é vase be wo, a ma ye té mengataʼa môé.","Wurenna, i ra ngila galalaŋ naŋ mihirisl ar kum vuna, yo i ra pusukukum celelu kumoy avra.»","Jonta ngewanmi kaɓɓirgal maɓɓe, mi itta ngal dow daaɗe mooɗon, mi ta'an callalluuji mooɗon.”","Jonta ngewanmi kaɓɓirgal maɓɓe, mi itta ngal dow daaɗe mooɗon, mi ta'an callalluuji mooɗon.”","Kinii, mi tɛ ba kpáŋá ko Asirii ger'nɛ́ yinɛ, ɓɛɛ mi ŋmana nyak-zɔɓɔ kɔ-wa tɛ‘nɛ́ yinɛ mbɛt.»","Kinii, mi tɛ ba kpáŋá ko Asirii ger'nɛ́ yinɛ, ɓɛɛ mi ŋmana nyak-zɔɓɔ kɔ-wa tɛ‘nɛ́ yinɛ mbɛt.»","Ma tsetsenya ne, 'ya kaŋsle berete nya kesa ŋayɛ yaka ba'a kapele yɛ zewe lɛa ŋayɛ.»",Ndi hrag ge jug äen yañ go patala ma mañge äe go mo soole. Ndi hrag ge geyam ma de mbarge ne ndon wo yañ go.
NAM.1.14," Quant à toi, voici ce qu'a ordonné Yahweh : Il n'y aura plus de postérité de ton nom ; je détruirai de la maison de ton Dieu les images taillées et celles de fonte ; je prépare ton sépulcre, parce que tu as été léger.","And the  Lord  hath given a commandment concerning thee, that no more of thy name be sown: out of the house of thy gods will I cut off the graven image and the molten image: I will make thy grave; for thou art vile.","Humgi va ma Ma-Vatɗin dum kigina: Jafgiya ma semda vigi ma yi talamu bugolda ma li loɗi. Slen ma ceɗayna hiɗi slen ma yorayna, ma nigi lakam kalaf hay ziyna vi lawayna vigina, nan ma yawam goyo, nan min jugoɗ zulda ta pigi haya'ta, kay nigi muɗi hefteŋ ŋolo.","A Ninive, jame Nti a bendé ajô dôé nde di: Wo ye bo te beta bi mvoñe bôt é beʼe jôé dôé; ma ye vaa ngunemelan é ne nkpwelan a éveʼela é ne mboon a nyeman étyé e ndaa Zambe wôé; ma ye faʼa soñe jôé amu ô nji beta bo mfañe jôm.","Mizli Ninivey, Bumbulvuŋ ara ɓi ani ɗaˀ ɗaˀ vur kumo: «Kum anta lumam dideˀ kumoy ngi sa zila slimiɗ kumo mata. Kuli kumoy miciɗa ti ciɗ malla mipa ti pihey na, i sa susuyumo taŋ tir hay taŋhay avra. I ra la vigiɗ ngi dik kumo, asi kum i mizli mupuɗaway ta.»","An Niniwe, ndaa ko Jawmiraawo umri dow maaɗa: “Yeeso ɗo, a heɓataa danygol tabitinanŋgol innde maaɗa fahin. Mi nattinan suura cehaaka e suura njamndi ɓolinaandi nder suudu ɗowanteeɓe maaɗa. Mi taaskitinan yenaande ma, ngam a laati huunde meere.”","An Niniwe, ndaa ko Jawmiraawo umri dow maaɗa: “Yeeso ɗo, a heɓataa danygol tabitinanŋgol innde maaɗa fahin. Mi nattinan suura cehaaka e suura njamndi ɓolinaandi nder suudu ɗowanteeɓe maaɗa. Mi taaskitinan yenaande ma, ngam a laati huunde meere.”","Ninivɛ, war wen kɔ-mɛ nɛ GASA WAN tɔ̧ nɛ mɔ'ɔ: «O ŋma bezaŋ-mɛ nɛ tɛ gbar nin-mɛ siti, beka bo ɓɔna. Mi tɛ kai o sɔ̧ nɛ mɛ duia in o sɛka-mɔ nɛ ya kɔ̧ tua ko sɔ̧ kɔ-mɛ a taŋ; mi za̧ nɛ kɔ̧-fio kɔ-mɛ wen gba̧a̧ mɔ mɛ tɛ-mɛ bo na.»","Ninivɛ, war wen kɔ-mɛ nɛ GASA WAN tɔ̧ nɛ mɔ'ɔ: «O ŋma bezaŋ-mɛ nɛ tɛ gbar nin-mɛ siti, beka bo ɓɔna. Mi tɛ kai o sɔ̧ nɛ mɛ duia in o sɛka-mɔ nɛ ya kɔ̧ tua ko sɔ̧ kɔ-mɛ a taŋ; mi za̧ nɛ kɔ̧-fio kɔ-mɛ wen gba̧a̧ mɔ mɛ tɛ-mɛ bo na.»","Wa nya wəsə nya tarete Mahwətə te ghəa ŋayɛ, gheyɛ ka Ninive nya: «Katezhɛne ŋwale nyi ketekele sləa ŋayɛ kanza va gheyɛ we. Ma mbe ghɛa yɛ shala ta ŋayɛ ne, kateza sebe 'ya te shala nyi menete yɛ yitea sheghwə ba'a yitea mze. 'Ya kahi kwele ta ŋayɛ, kwa nza ŋkɛ zləvə te gheyɛ kwa ntsə ta ɗa we.»","Mokay diñ fen maga Manwur waçaçn le ti äo mono Ninifi: Jobo joñ ge ti wer mani äon ma ra ëu äo gaa so. Ndi hoo ge fodo wo de mo ma de yoorge ma äil tiñ baa äon wo yañ go. Ndi 'wuçy gi tu huli äon yañ go, werga ndo patala bay diñ mopo wa so."
NAM.2.1," Voici sur les montagnes les pieds d'un messager de bonnes nouvelles, qui annonce la paix. Célèbre tes fêtes, ô Juda, accomplis tes voeux ! Car il ne passera plus chez toi ; le méchant est entièrement détruit.","He that dasheth in pieces is come up before thy face: keep the munition, watch the way, make thy loins strong, fortify thy power mightily.","Humgiya nigi sumuna vi Yuda, sa ma min margi labara vi toyta selem ka ci gaa kay hiɗiyn rim-rim'. Nigi gurona vi Yuda, liwgi yuldeta vigiya, vulgi mi Lawna sle ma nigi di kay vulumta. Kay sum sa joona as jik kulo jargi loɗi, nisi kaf vatay goyo.","Mbeʼe mbañete a mate mbil e minkôle yôp, a kate mbamba foé ya mvoʼé : Jeme mebôʼô môé a Yuda, boʼok e mam ô nga tiñeti amu mbia môt ate a ye bo te beta lôte wo zañ, ngule jé é maneya ne meñ.","Mizli Zudahay, mbur ara kilo ti ɓi mezle ani kini ti hirnga muwãhay: ara til mi ti ɓi ngi zuy. Mizli Zudahay, gaka muguzlum kumoyo, yo gwat kum miɓaka ɗaˀ le da Buymisemuŋ na, gaka taŋ. Asi mbur misi cucuko, naŋ anta sa ci ng'asi ruwuy kumo mata. Gidaŋ naŋ a kiɗ mi le wãˀ.","Ndaa gooynoowo habaru salaaman ɗon dow kooseeje, ɗon wara. An Yahuuda, waɗ juulɗe ma, hebbin  togayeeje  ma. Ngam kalluɗo meetataa saalaago caka mooɗon, o nattidi .","Ndaa gooynoowo habaru salaaman ɗon dow kooseeje, ɗon wara. An Yahuuda, waɗ juulɗe ma, hebbin  togayeeje  ma. Ngam kalluɗo meetataa saalaago caka mooɗon, o nattidi .","Ɛ̀nɛ̀ zɔ́k betom nɛ ma yi nɛ zu kaya mɛ, tɔ̧ nɛ wen ga̧a̧mɔ ha̧ o bíí tɛnɛ‘i! O bíí Juda, ɛ̀nɛ̀ dé gbaŋa k’ɛ́nɛ́ so'i, ɛ̀nɛ̀ dé mɔ n’ɛnɛ ha̧a̧ so nú wen-aa, wen wi-ɗaŋ beka hɔ tɛ‘nɛ́ ɓɔna, a̧ tika kaɗi!","Ɛ̀nɛ̀ zɔ́k betom nɛ ma yi nɛ zu kaya mɛ, tɔ̧ nɛ wen ga̧a̧mɔ ha̧ o bíí tɛnɛ‘i! O bíí Juda, ɛ̀nɛ̀ dé gbaŋa k’ɛ́nɛ́ so'i, ɛ̀nɛ̀ dé mɔ n’ɛnɛ ha̧a̧ so nú wen-aa, wen wi-ɗaŋ beka hɔ tɛ‘nɛ́ ɓɔna, a̧ tika kaɗi!","Ka Zhəwda, wa nya wəndə nya kekele ghena mɛnɛfɛ ganyɛ nya kasawa pelɛ ghəa ghweme, ghena ta kwelɛŋe yazlape ŋkɛ. Mene mə yɛ gəsəkəa ŋayɛ, fə mə wəshi nyi meɗeyi nda yɛ ke Shala kase. Kwa nza ŋkɛ katezhɛne nde ndiremia mehele kaŋkeɗe seɗa ta ŋkɛ te hɛɗia ŋayɛ we, nahe sebe keza te berete ta ŋkɛ.","Ko wee äaale je maga le de age sii waçaçre ma de coçoçre Ga jam joñ we so le de rage ciñ ti huuli wo mo caw no. Nday jar Juda no, joñ wee mbay few äayn wo so, Bag wee jag haçge jag äayn wo go so! Werga je ma debaycoçoçren hee ge ni äay gaa so hase, AÈ go de tawge äe."
NAM.2.2," Un destructeur s'avance contre toi ; garde la forteresse, surveille le chemin, affermis tes reins, ramasse toute ta force !","For the  Lord  hath turned away the excellency of Jacob, as the excellency of Israel: for the emptiers have emptied them out, and marred their vine branches.","Sa ma gawta ka co'o kay durgiya, ŋomgi gulmunna ŋaa'a ŋolo. Lakgi hay hagat jigere, ŋiliɓgiɗi, yawgi ŋiraygi goyo.","Nyô a tyame minlam a zu wosane wo, baʼaleʼe ôleme viôé! Mombôʼô e zene yôp! Yemeteʼe angeteñ dôé, boʼo ayok a ngule jôé ése!","Hirwuy Niniv, sojehey ara zlukuw ngi kiɗa vu. Jigina li ɗik muguno ti mohol, wi vu a jiviɗeye, juw vu, cici zlak gidaŋ gidaŋ wãˀ.","An Niniwe, nattinoowo ɗon wara haɓugo bee maaɗa. Aynu suudu ma semmbiɗndu, aynu laabi ma, taada, semmbiɗiɗ booɗɗum! ","An Niniwe, nattinoowo ɗon wara haɓugo bee maaɗa. Aynu suudu ma semmbiɗndu, aynu laabi ma, taada, semmbiɗiɗ booɗɗum! ",GASA WAN tɛ ɗafi o bezaŋ  Israɛl  in nyak-dɔ̧ɔ̧ nɛ o wi-ɗaŋ-mɔ ɗaŋa so lɔkɔti lɔkɔti'i ha̧ mɛ ɓɔ woyo.,GASA WAN tɛ ɗafi o bezaŋ  Israɛl  in nyak-dɔ̧ɔ̧ nɛ o wi-ɗaŋ-mɔ ɗaŋa so lɔkɔti lɔkɔti'i ha̧ mɛ ɓɔ woyo.,"Ninive, wa nyi ka sewajɛ nyi kadzeme kaha ŋa mpa. Ka sewajɛ, nza mə dzeyi te zli, wəmbɛne mə ŋkwa nyi dzeyi kwa yɛ hweŋkwa, hi mə geva yitea mpa, jikə mə pɛtɛa berete ta ŋayɛ.","Ninife, je taw jarn le de urgi ma seege go mo ti! Oo go gor ti kor ma de eegre kiñkiñ no! Kañ nen äo wo go ti faagen wo ta' ta'a! Sa' äil äo, bag jag see äo go!"
NAM.2.3," Car Yahweh rétablit la gloire de Jacob, ainsi que la gloire d'Israël, parce que des pillards les ont pillés, et ont détruit leurs ceps.","The shield of his mighty men is made red, the valiant men are in scarlet: the chariots shall be with flaming torches in the day of his preparation, and the fir trees shall be terribly shaken.","Kay Ma-Vatɗina min hot gajijita vi Yakub, hiɗi gaŋeraŋa vi Israyel kulo'o, gulda-guldana visi ma sa gawt param goyna, nam min hotom kulo hay liyamu.","Amu Nti a beta telé étôtoʼo Yakob, avale fe ane duma Israél, amu besa biôm be nga sa be a mane tyiʼi mintyaé mindiʼi miap.","Asi Bumbulvuŋ ara mo ti dudok ngi dideˀ ngi Zakopoy a muŋ, haˀaw naŋ vuna i dudok ngi Israyeley na. Mivi vuhoy a hilaka taŋ gwataya le zleˀe, a hiryaka taŋ guva ngi gudubunoyo le zleˀe.","Ngam Jawmiraawo ɗon wartira maŋngu Yaakubu e ngu Isra'iila, koo nde hippooɓe mbili Isra'iila, nattini lice inabohi man.","Ngam Jawmiraawo ɗon wartira maŋngu Yaakubu e ngu Isra'iila, koo nde hippooɓe mbili Isra'iila, nattini lice inabohi man.","Ninivɛ, ŋma wi-ɗaŋ-mɔ a̧ tɛ pii tɛ‘nɛ́‘i; ɛ̀nɛ̀ á o wi-pɛm-mɔ nɛ zu garo, ɛ̀nɛ̀ kpé o yuwar, ɛ̀nɛ̀ hɛ́r tɛ‘nɛ́, ɓɛɛ ɛ̀nɛ̀ mɔ́i̧ o wi-biro k’ɛ́nɛ́ lɛŋ.","Ninivɛ, ŋma wi-ɗaŋ-mɔ a̧ tɛ pii tɛ‘nɛ́‘i; ɛ̀nɛ̀ á o wi-pɛm-mɔ nɛ zu garo, ɛ̀nɛ̀ kpé o yuwar, ɛ̀nɛ̀ hɛ́r tɛ‘nɛ́, ɓɛɛ ɛ̀nɛ̀ mɔ́i̧ o wi-biro k’ɛ́nɛ́ lɛŋ.","Nahe ka mefətekwə kefəmte wəshi yitea hwelefefia Zhakob. Nahe hɛ kebezemte yɛ dzeve ta rɛzɛŋe. Ndagwara zləvə yave nda Mahwətə ke Zhakob, kaganda ne, nahe ŋkɛ kenza kazləvəa Israyɛl.","Gahaçyla Manwur fer we le de togoëge mani Jakob no, Diñ togoëge mani Israyel pay tlalum äe maga jar frum jarn hay frumn wo go, Day brag wo jag do äen wo go mono."
NAM.2.4," Le bouclier de ses guerriers est teint en rouge, ses hommes d'armes sont vêtus d'écarlate ; dans le feu des aciers ses chars apparaissent, au jour où il prépare  la bataille,  et les lances s'agitent.","The chariots shall rage in the streets, they shall justle one against another in the broad ways: they shall seem like torches, they shall run like the lightnings.","Sumuna sa wi duur ŋolla marayta visi cori slaw keŋ', sa wi duura cuki hiɗi sligar purpella, keke-ma-duura co hiɗi kaway ma wileɗna, kayni hay buur ma nisi colom kay li duura, kawayna visi nisi wileɗem kulo pilik-pilik'.","Ebene ya mimbene mié é ne nduban évele; Bezimbi be beʼe mengômesan me ne nyôl angôô. Eyoñe bevagoñ ba bete nnoñ, bityé biab bia ngemban ane nduan, a mekoñ ma fôʼôsan.","Mbaray ngi soje gambara naŋhay i gagazahay ndezze, yo migi vurumoyo, a kam zana gagazahay wirik wirik. Da taŋ micinjaham le ngi kiɗa vu na, mota taŋ ngi vurumoyo, ɓiri taŋhaya gar a wucuɗam. Ziwitey a wusam jiwir jiwir.","Bawarɗe  honooɓe nattinoowo go mbooji. Semmbiɗɓe maako ɗon ɓorni limce boɗeeje. O ɗon darna mootaaji maako bana jame yiite jaynanɗe, ɓe ɗon ndimmbina labbe maɓɓe. ","Bawarɗe  honooɓe nattinoowo go mbooji. Semmbiɗɓe maako ɗon ɓorni limce boɗeeje. O ɗon darna mootaaji maako bana jame yiite jaynanɗe, ɓe ɗon ndimmbina labbe maɓɓe. ","Dap ŋgéé ko o ŋgaŋa-wi nɔ‘i nɛ gbɛ̧-a̧ lɛŋ; laa-biro kɔ-wa ɔ zóŋ-zóŋ, o boi keekee kɔ-wa zar zar bar-bar ŋgimbi-tik-biro, ɓɛɛ o sɛɛ kɔ-wa nak nak pit-pit.","Dap ŋgéé ko o ŋgaŋa-wi nɔ‘i nɛ gbɛ̧-a̧ lɛŋ; laa-biro kɔ-wa ɔ zóŋ-zóŋ, o boi keekee kɔ-wa zar zar bar-bar ŋgimbi-tik-biro, ɓɛɛ o sɛɛ kɔ-wa nak nak pit-pit.","Gelə nyi ghɛmɛa ghɛmɛa ya va ka sewajɛa nde ghema, lekwesa nyi ghɛmɛa ghɛmɛa ya kənəa hɛ. Ma te və nya nza hɛ ɗeke ɗeke kampa ne, kaslesla yɛ wəmata gədəwə kala tse ta ghwə, kagegeɓa yɛ megha.","Kroñ ma do blumri durgin wo de seçeçre, Jar ma de eegre jag jawn wo de hee oçoçbe ma seçeçre yiñ yiñ wo ti. Boore pus durgi äaaran bel wo wuu. Ti wur maga aà sraë wo go ma durgi mono, manjawren sag wo plië pliëi."
NAM.2.5," Dans les rues les chars s'élancent avec furie ; ils se précipitent sur les places. Leur aspect est celui des flammes, des éclairs qui courent.","He shall recount his worthies: they shall stumble in their walk; they shall make haste to the wall thereof, and the defence shall be prepared.","Keke-ma-duura jaŋ hay fulda, li koloyo kay gar liy ma duura, nisi ɗuw ŋray ca ki kuta ta wileɗ nala, nisi jaŋ koloyo ki wileta vi niyna nala.","Bevagoñ ba wulu minjoñ a ayoʼo ese, a vasane mevôm mevôm. Bia yené vʼane belambe, bi wuluʼu fʼavô ane feleves.","Mota ngi vurumoy a kilam a ɓuh taˀ dibiɗ lambaˀ, a dumbuslam vu ar li ngi lumahaya, mbur a ɓi ta na, i daliivu, a kilam teˀ, kuɗiɗi kaɓa vuŋ mawucuɗu.","Mootaaji pucci ɗon caamna dow laabi, ɗon njaawa haa babe koo toy. Nanndu maaji bana jame yiite, koo toy ɗi jaawɗi bana ma'e. ","Mootaaji pucci ɗon caamna dow laabi, ɗon njaawa haa babe koo toy. Nanndu maaji bana jame yiite, koo toy ɗi jaawɗi bana ma'e. ","O keekee gɛk nɛ zaŋbɛɛ tɛnɛ hakaka, gɔm nɛnɛ a bee-gara. Ka'i zɔk wa, ɓɛɛ ɛnɛ‘e nɛ leɓe-wee; wa kpaŋii nɛ mgbara mɔ hee pi̧i̧-kórò ga.","O keekee gɛk nɛ zaŋbɛɛ tɛnɛ hakaka, gɔm nɛnɛ a bee-gara. Ka'i zɔk wa, ɓɛɛ ɛnɛ‘e nɛ leɓe-wee; wa kpaŋii nɛ mgbara mɔ hee pi̧i̧-kórò ga.","Kahwɛ yɛ wəmata gədəwə kezha mpa dzeyi kwa yɛ hweŋkwa ba'a te yɛ ŋkwa kebeke. Nahe hɛ kenza kala ghwə te wəvəzə, nahe hɛ kenza wɛre wɛre kala slesla ta va.","Pus äaaran kañ wo le mbli' mbli' ti faagen wo, Cir wo ngeeln wo go äuy. AÀ wo ti' do dol maga wo de wuu jag nono. AÀ ëee wo deparday do sagge Baa nono."
NAM.2.6, Il se souvient de ses nobles ; eux trébuchent dans leur marche. Ils se précipitent vers les murs ; on se prépare à la défense.,"The gates of the rivers shall be opened, and the palace shall be dissolved.","Nam yi sumuna valam sa wi duura, may hay tu'da tuwsi visi bat-bat', nisi jaŋ koloyo tam gulmunna, koti tuwsi kay tel sa gawt goyo.","Njô bôte ya Ninive a loone biwôlô bezimbi bié ve ba zu ba kolé abak éyoñ ba wulu, ba ke mbi akaʼa ya tison a tebe mvus ében.","Buy Niniv a zila madiɗa ngi soje naŋ miwirwireye, amma a ram tangbaˀ tangbaˀ. A wusam vu kini ng'avu moholo, a ɗumom a duba gwat.","O ewnoto mawɓe honooɓe maako semmbiɗɓe, ammaa ɓe pergoto nder yahdu maɓɓe. Ɓe njaawan yahugo gal mahol berniwol, ɓe ndarni kuuje aynooje ton. ","O ewnoto mawɓe honooɓe maako semmbiɗɓe, ammaa ɓe pergoto nder yahdu maɓɓe. Ɓe njaawan yahugo gal mahol berniwol, ɓe ndarni kuuje aynooje ton. ","Wannu Asirii saa o yaa-ŋgo-biro kɔ‘i, ɓɛɛ tɛ-wa nak tɛ naŋanɔ kɔ-wa. O wi-gbin-biro kpánà nɔ si ká̧ garo, ɓɛɛ wa ɗafi mɔ kpe nɛ zu-wa.","Wannu Asirii saa o yaa-ŋgo-biro kɔ‘i, ɓɛɛ tɛ-wa nak tɛ naŋanɔ kɔ-wa. O wi-gbin-biro kpánà nɔ si ká̧ garo, ɓɛɛ wa ɗafi mɔ kpe nɛ zu-wa.","Kaheka mbeli nyi te ghəa ka sewajɛa ŋkɛ meghe nya mbe Ninive, ama kabete hɛ te hɛɗi mbe dzeghwa ta nci. Kadzeme zli ka jaga kahe kahe, kawəfərə hɛ wəmbəa ŋkwa.","Wañ Ninif de kañ ti ti jar äe ma de eegre jag jawn wo. Ama äaale äaara bañ ge go, aà far ge wo ciñ ma seege gaè. Jar heen hoo ge wo wo deparday ma woge ti jeñ kor no, Kañ ge wo gidigli nen äaara de äe."
NAM.2.7," Les portes des fleuves s'ouvrent, et le palais s'effondre.","And Huzzab shall be led away captive, she shall be brought up, and her maids shall lead her as with the voice of doves, tabering upon their breasts.","Dolay kayni vun niy-lumna ay mali goy mal', ziyn ma mulda ɦo gaa'a.","Mimbé ya ôsôé mi yombôya, a nda njô bôt é kuya si!","Miviŋ mitaˀ hiri nga mubuliye, i mingilahay le, mugum ngi buy ara mbizli.","Dammuɗe maaje ɗon maɓɓiti, laamorde ɗon yibba. ","Dammuɗe maaje ɗon maɓɓiti, laamorde ɗon yibba. ","O nu garo mɛ si ká̧ nana-yì gbina a nu, ɓɛɛ bele zar o bíí kɔ̧ kira ko wannu.","O nu garo mɛ si ká̧ nana-yì gbina a nu, ɓɛɛ bele zar o bíí kɔ̧ kira ko wannu.","Taghanyɛ ne, pa gelembe nyi laka yɛ hələ fefelaŋemte geva, pa ghɛa meghe ŋzlamte geva.","Jag faage maga nduë wo wo go jag maarog bul gi wo go, Tiñ mani wañn le' ge go."
NAM.2.8," C'en est fait, elle est mise à nu, elle est emmenée, et ses servantes poussent des gémissements, pareils aux plaintes des colombes ; elles se frappent la poitrine.","But Nineveh is of old like a pool of water: yet they shall flee away. Stand, stand, shall they cry; but none shall look back.","Kayni liyawa, dira' patawa goyo, nisi kalawa hiɗi na'a. Sa sunda sa haya'na tun caw tiy ki gukka nala, nisi slet ɓisi digsiya.","Eveʼela Zambe minga é ntele nsoé, be vaaya je. E binga ba baʼale je ba tat ane vôme bezum ba yôn; ôlune wob été, ba kute mo tôé.","Kuli ngwas miciɗa ti ciɗe, a zuɓaka le, a ram di le. Ngwas miji haŋ naŋhay matuwam kaɓa ɗiyuw dirgwaɗaya, a ram ti taŋ le, taŋ haŋ bac a didak a didak.","Ɓe ngurtini debbo laamiiɗo, ɓe dahi mo. Horɓe maako  ɗon mboya bana pooli, ɓe ɗon piya biɓɓe maɓɓe. ","Ɓe ngurtini debbo laamiiɗo, ɓe dahi mo. Horɓe maako  ɗon mboya bana pooli, ɓe ɗon piya biɓɓe maɓɓe. ","O wi-biro baa ɓóó-sɔ̧ kɔ-wa yaknɛ, gu nɛ o ko-ɗafi-sɔ̧́-a̧; o kóò nɔ‘i hi̧i̧ nɛ kɔ̧a̧, ku̧i̧ nɛ mɔ hee gbaku̧i ga, mbɛr nɛ yí-see.","O wi-biro baa ɓóó-sɔ̧ kɔ-wa yaknɛ, gu nɛ o ko-ɗafi-sɔ̧́-a̧; o kóò nɔ‘i hi̧i̧ nɛ kɔ̧a̧, ku̧i̧ nɛ mɔ hee gbaku̧i ga, mbɛr nɛ yí-see.","Laŋe ka ghema te pa ta shala nya kamale, pa hɛ keleghe ŋkɛ kadzete hɛɗia nci. Ntake mi nyi kese kanewe ghweme te kaghwəghwə kala yɛ ghwəɗəŋkwə. Ntake hɛ katsa hate va ndiremi nya te hɛ.","Ndo le' jag we go so! Ma de hayle go dlahn gwa' we go glog koëe. AÈ raw we de äe. Mayre tigliiri äe maga hay wo joñ peele ne hen car wo ro do glur wo nono, Lag wo do go jag jiili äaara."
